,,,Where was the study conducted/cohort recruited?,,,,,,,,,When was the study conducted and reported?,,,
X,A0_S,A0_C,B0_country,#siteLocation,B1_siteCat,B1_setting,B0_region,B0_income,B2_endem,B2_species1,B2_species2,B3_studyStart,B4_studyEnd,B5_reportDate,B5_reportMeans
X00480,S48,S48C1,Cote d'Ivoire,"Zouatta II village, district of Man",other,rural,Western Africa,lower middle,4,mansoni,N/A,15/05/2002,15/07/2002,15/01/2004,journal article
X00500,S50,S50C1,Cote d'Ivoire,"2 primary schools in Douimbly and Zouatta II, district of Man",school,rural,Western Africa,lower middle,2,mansoni,N/A,15/04/2007,15/07/2007,25/11/2008,journal article
X00510,S51,S51C1,Mali,village in Djalakorodji,other,semi-urban,Western Africa,low,7,haematobium,N/A,15/08/2007,15/10/2007,5/10/2009,journal article
X00550,S55,S55C1,Zimbabwe,"4 primary schools in Burma Valley, Eastern Highlands, Manicaland Province (3 sites), and Shamva District, Mashonaland Central Province (1 site)",school,rural,Eastern Africa,low,6,haematobium,mansoni,15/07/2004,15/04/2005,16/05/2008,journal article
X00560,S56,S56C1,Sudan,"elementary schools in Alhara Alula, New Halfa",school,unclear,Northern Africa,lower middle,1,mansoni,N/A,15/09/2008,15/10/2008,3/3/2009,journal article
X00570,S57,S57C1,Cote d'Ivoire,"Guessiguie village, district of Agboville",other,rural,Western Africa,lower middle,5,haematobium,mansoni,15/11/2008,15/12/2008,1/5/2010,journal article
X00660,S66,S66C1,Cote d'Ivoire,primary and secondary schools in Taabo region,school,rural,Western Africa,lower middle,-9,haematobium,mansoni,unknown,unknown,4/2/2015,journal article
X00860,S86,S86C1,Nigeria,"primary and secondary schools in Akala and Imala Odo (Oyan), Abeokuta North Local Government area, Ogun State",school,unclear,Western Africa,lower middle,7,haematobium,N/A,15/07/2011,15/03/2012,1/9/2014,journal article
X00980,S98,S98C1,Cote d'Ivoire,"school in Sahoua, Taabo district",school,rural,Western Africa,lower middle,5,haematobium,mansoni [absent],15/11/2011,15/02/2012,17/07/2014,journal article
X01090,S109,S109C1,Angola,Bengo,unclear,unclear,Middle Africa,upper middle,6,haematobium,N/A,unknown,unknown,2/11/2014,conference
X01180,S118,S118C1,Zimbabwe,"3 villages: Magaya, Chipinda and Chitate, Mashonaland Province (31.30 E, 17.45 S)",school,rural,Eastern Africa,low,3,haematobium,mansoni [absent],unknown,unknown,17/05/2011,journal article
X01181,S118,S118C2,Zimbabwe,"3 villages: Magaya, Chipinda and Chitate, Mashonaland Province (31.30 E, 17.45 S)",school,rural,Eastern Africa,low,3,haematobium,mansoni [absent],unknown,unknown,17/05/2011,journal article
